doi,title,year,citations,is_oa,type,source_journal,abstract,ASL,MWL,LD,LC,JD,HD,NCC,ncc_group,mean_citations
https://doi.org/10.1179/1743278215y.0000000057,Detection of corrosion degradation using electrochemical noise (EN): review of signal processing methods for identifying corrosion forms,2015,138,False,article,Corrosion Engineering Science and Technology The International Journal of Corrosion Processes and Corrosion Control,"Electrochemical noise (EN), as one of the most promising in situ electrochemical methods in corrosion and electrochemical science, has been developing rapidly in recent years with the advancements in instrumentation and signal processing methods. One advantage of EN is its application in long-term or early stage corrosion process monitoring because it instantly detects corrosion rate and corrosion forms. Investigators have applied various mathematical methods to extract characteristic parameters from EN. In this paper, identifying corrosion forms using parameters obtained from time domain, frequency domain and time–frequency domain is reviewed, and the correlation between parameters and corrosion forms is discussed. Finally, other in situ techniques are recommended to be employed synchronously with EN measurement in order to obtain reliable analyses.",23.8,7.142857142857143,0.6722689075630253,0.6722689075630253,0.03361344537815126,0.008403361344537815,8.763864042933811,2015,15.746478873239436
https://doi.org/10.1080/1478422x.2019.1583436,On the Volta potential measured by SKPFM – fundamental and practical aspects with relevance to corrosion science,2019,138,True,article,Corrosion Engineering Science and Technology The International Journal of Corrosion Processes and Corrosion Control,"The Volta potential is an electron-sensitive parameter and describes the thermodynamic propensity of a metal to take part in electrochemical reactions. It has found widespread acceptance among corrosion researchers due to its connection to the corrosion potential and its easy measurability in local scale, being often used to study localised corrosion phenomena and micro-galvanic activities. The principle object of this paper is to provide a comprehensive, fundamental insight into the meaning of the Volta potential and to define a polarity convention of measured potentials by the scanning Kelvin probe force microscopy (SKPFM) in order to assess local nobilities in microstructures. Conditions to relate the Volta potential with the mixed-potential theory are discussed and a possible connection to corrosion phenomena explained. The limitations of the Volta potential as well as the SKPFM technique are also aimed to be explained, with some practical information to maximise the output of high quality data.",30.0,6.6866666666666665,0.62,0.64,0.02666666666666667,0.04,8.616961789375582,2019,16.01492537313433
https://doi.org/10.1080/1478422x.2018.1511327,Additive manufacturing – a general corrosion perspective,2018,98,True,article,Corrosion Engineering Science and Technology The International Journal of Corrosion Processes and Corrosion Control,"Metallic additive manufacturing will replace some materials produced by conventional fabrication methods in the nearest future. However, corrosion will remain an important aspect needed to be prevented. The corrosion behaviour of additively manufactured alloys has been sparsely studied and very little work has been published so far. In this article, a general discussion about materials produced by additive manufacturing will be provided.",15.5,7.016129032258065,0.6774193548387096,0.7903225806451613,0.04838709677419355,0.08064516129032258,6.848585690515806,2018,14.30952380952381
https://doi.org/10.1080/1478422x.2017.1304690,State-of-the-art overview of pipeline steel corrosion in impure dense CO <sub>2</sub> for CCS transportation: mechanisms and models,2017,95,False,article,Corrosion Engineering Science and Technology The International Journal of Corrosion Processes and Corrosion Control,"This work reviews the existing open literature concerned with pipeline steel corrosion in CO2-rich phase with impurities for carbon capture and storage purpose. The intent of this review was to provide information on the corrosion mechanisms, which is crucial for establishing the mechanistic prediction models. The primary focus was placed on key affecting parameters and their corresponding mechanisms, while the corrosion control strategies and research prospects are also discussed. This review covers the effects of: impurities, pressure, temperature, flow, exposure time, product layers, and steel chemistry. The influences of flow dynamics, amines, sulphur, and solids that had received little systematic attention need to be further addressed. Contradictory conclusions regarding the influence of H2O and O2 on the corrosion rates should be re-evaluated. The localised corrosion and cathodic reaction mechanisms also require further investigation, especially under synergistic conditions with multiple impurities.",20.0,7.142857142857143,0.6857142857142857,0.7214285714285714,0.02857142857142857,0.014285714285714285,5.776699029126214,2017,16.445378151260503
https://doi.org/10.1080/1478422x.2020.1746039,Steel reinforcement corrosion in concrete – an overview of some fundamentals,2020,95,False,article,Corrosion Engineering Science and Technology The International Journal of Corrosion Processes and Corrosion Control,"Professor Brian Cherry was always been a firm believer in understanding first the fundamentals of any aspects of corrosion science, then the mechanisms, before embarking on the engineering of solutions to the management of materials corrosion. So it was with steel-reinforced concrete. This paper endeavours to walk a reader through the fundamental and mechanistic aspects of the excellent protection afforded to steel reinforcement by concrete (including electrochemistry), corrosion of steel reinforcement [including uniform (microcell/minicell) and pitting (macrocell) aspects, corrosion products composition and development], chloride-induced corrosion mechanisms (passive film breakdown/pit initiation, metastable pitting, pit growth/propagation, chemical conditions within propagating pits and reinforcing steel quality effects), carbonation-induced corrosion mechanisms, leaching induced corrosion of reinforcement and reinforcing steel stray current corrosion and interference.",40.0,8.075,0.7,0.675,0.075,0.03333333333333333,7.508591065292096,2020,12.652173913043478
https://doi.org/10.1080/1478422x.2017.1330736,Nature of the near-field environment in a deep geological repository and the implications for the corrosion behaviour of the container,2017,83,True,article,Corrosion Engineering Science and Technology The International Journal of Corrosion Processes and Corrosion Control,"The corrosion behaviour of nuclear fuel waste containers depends on the near-field environmental conditions, which may differ significantly from those in the host rock, especially during the early thermal-saturation transient phase. Although it is widely accepted that, in broad terms, the repository evolves from initially warm and oxidising to cool and anoxic in the long term, it is important to understand the detailed nature of the near-field environment in order to predict the corrosion behaviour of the container with confidence. Available information about the near-field environment is briefly reviewed and the expected time dependence of various environmental parameters is defined for a bentonite-backfilled deep geological repository. Although the focus is on a Canadian repository design for copper-coated containers in crystalline or sedimentary host rocks, the discussion is broadly applicable to a variety of container materials and repository designs and locations. Some implications for the corrosion behaviour of the container are also considered.This paper is part of a supplement on the 6th International Workshop on Long-Term Prediction of Corrosion Damage in Nuclear Waste Systems.",28.833333333333332,6.855491329479769,0.6242774566473989,0.6184971098265896,0.023121387283236993,0.046242774566473986,5.047010730710271,2017,16.445378151260503
https://doi.org/10.1080/1478422x.2018.1511326,Review and analysis of microbiologically influenced corrosion: the chemical environment in oil and gas facilities,2018,73,False,article,Corrosion Engineering Science and Technology The International Journal of Corrosion Processes and Corrosion Control,"Microbiologically influenced corrosion (MIC) is a complex phenomenon requiring integrated knowledge of multiple disciplines to better manage and mitigate impacts. The chemical environment (e.g. produced water, soured oil) plays an important role in MIC. Chemical reactions and phase changes due to temperature, pressure, pH and to a lesser extent salinity, impact microbial activities which in turn influences the surrounding chemical environment leading to corrosion. The chemical–microbial interactions complicate the understanding of chemical species transformation and partitioning behaviour in gas, water and oil and subsequent impact on corrosion. In this paper, a review of the complex chemical transformations of chemical species resulting from biotic and abiotic processes are presented. These chemical species can have growth, inhibitory or synergistic effects on microbial activities causing MIC. Microbial activities are found to overlap with chemical/electrochemical processes leading to corrosion. The interaction between chemical environment, environmental factors, electrochemical and microbial processes has been explained with examples from the literature, to understand the contributory effects on MIC. This study will inform further investigation on the chemical environment impacting MIC and model development.",16.0,7.443181818181818,0.6988636363636364,0.6193181818181818,0.017045454545454544,0.022727272727272728,5.101497504159734,2018,14.30952380952381
https://doi.org/10.1080/1478422x.2016.1275419,An overview of the Canadian corrosion program for the long-term management of nuclear waste,2017,72,True,article,Corrosion Engineering Science and Technology The International Journal of Corrosion Processes and Corrosion Control,"The Nuclear Waste Management Organization (NWMO) has developed a comprehensive Proof Test Plan to evaluate the feasibility and safety of its deep geological repository solution for nuclear waste. This work plan includes many active research programs to build confidence in the Canadian used nuclear fuel container design, a copper-coated steel vessel that is optimised for the CANDU waste form. Ongoing research within the Proof Test Plan includes several programs to evaluate the possible extent of damage that may be caused by various corrosion mechanisms: the anoxic corrosion of copper in pure water, concentrated chloride solutions, and in the presence of sulphide; a comparison of the corrosion behaviour of copper coatings on steel with wrought copper; the localised corrosion and surface roughening of copper; the γ-radiolysis-induced corrosion of copper; the galvanic corrosion of through-coating defects; and the localised corrosion of the internal steel weld region.This paper is part of a supplement on the 6th International Workshop on Long-Term Prediction of Corrosion Damage in Nuclear Waste Systems.",41.25,6.684848484848485,0.6484848484848484,0.6060606060606061,0.030303030303030304,0.03636363636363636,4.378129790495657,2017,16.445378151260503
https://doi.org/10.1080/1478422x.2017.1384609,Corrosion-resistant alloy testing and selection for oil and gas production,2017,60,True,article,Corrosion Engineering Science and Technology The International Journal of Corrosion Processes and Corrosion Control,"Corrosion-resistant alloys (CRAs) are employed in severe oil and gas production environments that operate at high pressures and temperatures and contain chlorides, CO 2 , and H 2 S. They exhibit high resistance to uniform corrosion in these environments due to their passivity. However, they can suffer from different forms of environmentally assisted cracking (EAC), depending on the environmental and metallurgical conditions. This paper reviews the recent literature of EAC in CRAs and presents an overall framework for evaluating the SCC based on electrochemical modelling of corrosion and repassivation potentials for localised corrosion. The modelling is supported by experimental data on crack growth as a function of environmental variables, alloy content, and potential. This paper is part of a supplementary issue from the 17th Asia-Pacific Corrosion Control Conference (APCCC-17) .",21.666666666666668,6.746153846153846,0.6692307692307692,0.7307692307692307,0.038461538461538464,0.015384615384615385,3.6484414920797144,2017,16.445378151260503
https://doi.org/10.1080/1478422x.2019.1613780,Gum Arabic as corrosion inhibitor in the oil industry: experimental and theoretical studies,2019,60,False,article,Corrosion Engineering Science and Technology The International Journal of Corrosion Processes and Corrosion Control,"Corrosion inhibitors are commonly used in the oil industry due to their effectiveness, easy application and relatively low cost. Electrochemical and molecular simulation methods were used to investigate the application of Gum Arabic (GA) as a natural polymer corrosion inhibitor for carbon steel. The Tafel analysis results showed that GA works as a mixed-type corrosion inhibitor on carbon steel with the increased Open Circuit Potential. In synthetic brine, the adsorption isotherm study showed that GA inhibitor films were mainly formed via chemisorption. The corrosion efficiency of GA measured by polarisation curve, polarisation resistance and impedance measurements, were 94.0, 83.5 and 90%, respectively. Molecular simulations studies indicated that high molecular weight of carbohydrates have strong interaction with Fe (111) surface.",14.875,6.949579831932773,0.7394957983193278,0.7394957983193278,0.04201680672268908,0.01680672268907563,3.7465051258154705,2019,16.01492537313433
https://doi.org/10.1177/1478422x241229621,Non-destructive techniques for corrosion detection: A review,2024,56,True,article,Corrosion Engineering Science and Technology The International Journal of Corrosion Processes and Corrosion Control,"Corrosion detection (CD) has become a high priority in chemical industries, defense and transportation sectors to extend the life of existing or new systems while ensuring the safety of the existing components and reducing downtime to minimise economic losses. Here, this article is aimed to review and discuss non-destructive techniques used widely in the industry to detect, monitor and repair corrosion problems early on. The comprehensive review provides a detailed discussion, a functional mechanism, advantages and disadvantages of crucial non-destructive CD techniques widely used in the industry, helping the reader choose the type of corrosion monitoring methods effectively. An extensive literature review of visual and optical testing techniques, acoustic emissions, eddy current, guided wave and equipment, infrared thermography, radiographic, microwave and millimeter wave, and terahertz imaging is discussed. The underlying mechanism, its merits and limitations, along with the usage scenario, is explained that can be related across different areas making it interdisciplinary research for corrosion monitoring techniques.",31.4,7.095541401273885,0.7006369426751592,0.7070063694267515,0.01910828025477707,0.03184713375796178,14.451612903225806,2024,3.875
